Phrase,Frequency
education and schools,558
football,474
basketball,410
colleges and universities,327
politics and government,304
medicine and health,248
music,247
elections,154
college athletics,151
baseball,132
united states politics and government,110
soccer,102
coaches and managers,101
finances,96
radio,91
crime and criminals,89
motion pictures,87
mental health and disorders,78
sex crimes,73
labor,69
computers and the internet,68
blacks,66
news and news media,63
"armament, defense and military forces",59
"hockey, ice",57
presidents and presidency (us),53
games,51
presidential elections (us),49
police,49
law and legislation,49
books and literature,47
environment,46
diseases and conditions,44
art,40
weather,39
food,38
international relations,37
television,37
air pollution,34
homosexuality,34
united states armament and defense,33
terrorism,33
religion and churches,32
budgets and budgeting,32
media,32
united states international relations,30
weddings and engagements,27
hurricanes and tropical storms,25
drug abuse and traffic,24
global warming,24
"awards, decorations and honors",23
golf,22
firearms,21
children and youth,21
athletics and sports,20
computer and video games,20
research,19
animals,19
theater,18
holidays and special occasions,17
restaurants,17
roads and traffic,15
festivals,15
photography,15
olympic games,15
track and field,15
alcoholic beverages,15
speech,14
presidential election of 2008,14
wages and salaries,14
world trade center (nyc),14
freedom of speech and expression,13
gun control,13
housing,13
tuition,13
swimming,13
apparel,13
airlines and airplanes,13
ncaa basketball tournament,13
tennis,12
accidents and safety,12
murders and attempted murders,12
women,12
telephones and telecommunications,12
cancer,12
atomic weapons,11
taxation,11
homeless persons,11
water,11
suits and litigation,11
recordings (audio),11
cellular telephones,11
privacy,11
appointments and executive changes,11
office buildings and commercial properties,11
dancing,10
abortion,10
hijacking,10
energy and power,10
diet and nutrition,10
marriages,10
"indians, american",10
ethics,10
strikes,10
health insurance and managed care,10
oil (petroleum) and gasoline,10
new year,9
super bowl,9
marijuana,9
immigration and refugees,9
language and languages,9
acquired immune deficiency syndrome,9
viruses,9
violence,9
jews,8
parking,8
smoking and tobacco,8
capital punishment,8
insurance,8
retail stores and trade,8
culture,8
palestinians,8
tests and testing,7
rock music,7
city councils,7
mayors,7
travel and vacations,7
deaths (obituaries),7
academy awards (oscars),7
war and revolution,7
freedom and human rights,7
automobiles,7
breast,7
sexual harassment,7
handicapped,6
affirmative action,6
exercise,6
christians and christianity,6
electric light and power,6
prisons and prisoners,6
chemistry,6
debating,6
suicides and suicide attempts,6
wines,6
water pollution,6
cooking and cookbooks,6
