Information_Score,Phrase,Newspaper
-0.000259129121197757,football,"California Polytechnic State University, SLO"
-6.423422165811658e-05,football,Emory University
0.0038310840057714244,football,University of Georgia
-0.00013233000919966382,football,University of Hawaii Manoa
-1.3751099644993914e-05,football,Suffolk University
-0.00011535897333943164,football,University of Utah
0.013248590356041354,football,Pennsylvania State University
0.0011847590320056421,football,University of Notre Dame
-0.00017050116283561688,football,East Carolina University
-0.0001956206719353043,football,"University of Nebraska, Lincoln"
-0.00020528619596895954,football,Georgetown University
-7.313017878372245e-05,football,Texas Christian University
-0.0002996333003335727,football,Eastern Illinois University
-0.0002023649503045491,football,Oregon State University
-0.00013001394481424375,football,Santa Clara University
-0.00010111456610290328,football,SUNY Stony Brook
-0.0001396647928882192,football,University of Chicago
0.0007247948691674073,football,University of Illinois Urbana Champaign
-3.184073255033012e-05,football,Biola University
-7.102347043426954e-05,football,University of California Irvine
-4.7517416618116104e-05,football,Hofstra University
-0.0003773050726970226,football,"University of Wisconsin, Madison"
0.0002511226304862825,football,Northern Illinois University
0.00043130057277772246,football,University of Texas San Antonio
-6.93521265600025e-05,football,University of Miami
-0.00014154658087045337,football,University of California Davis
-0.00020816308833707095,football,Purdue University
-9.511768586334351e-05,football,University of Rochester
-4.4123542754334516e-05,football,St. Louis University
-8.412834045517007e-05,football,Boston College
-9.072175043000225e-05,football,DePaul University
-4.4865289474081585e-05,football,San Diego State University
1.684732054210462e-05,football,Oklahoma State University
-3.2532856507110034e-05,football,CSU Fresno
-7.420317528465847e-05,football,University of California Santa Barbara
-4.904069898665924e-05,football,St. Edward's University
0.0014199531934713891,football,Louisiana College
-0.0001349073731772115,football,Washington State University
-5.98002268221205e-05,football,Virginia Commonwealth University
-6.661692601854423e-05,football,West Virginia University
-0.00039674464193503685,football,University of Washington
-4.660737239738478e-05,football,University of Kansas
0.0004913034306308709,football,University of Oklahoma
-0.00033823247043091357,football,University of Minnesota Twin Cities
-5.2653225765641634e-05,football,University of Colorado Boulder
-4.7860448147591796e-05,football,Stanford University
0.00847066190978791,football,"University of Tennessee, Knoxville"
-0.00012699355656667683,football,CSU Sacramento
-0.00011313892517736823,football,Florida International University
-0.000162196492043922,football,University of Texas Austin
-0.0002749632045074514,football,University of Massachusetts Amherst
-2.0225676997133345e-05,football,Eastern Washington University
-1.4630126906752943e-05,football,Seattle University
-6.585308285410092e-05,football,CSU Chico
0.013251111038592826,football,University of Pittsburgh
-0.0001560528734855902,football,University of Michigan
-5.377293875763313e-05,football,Montana State University Bozeman
-6.391160785494156e-05,football,Ithaca College
-0.00015095254159835006,football,University of Connecticut
0.001939859476618456,football,University of Iowa
0.00015115287919619192,football,Florida Atlantic University
-6.351502489275788e-05,football,Texas A & M University
-6.826151054698939e-05,football,Quinnipiac University
-5.260405333602565e-05,football,Macalester College
0.0004789835431150105,football,Simpson College
1.590654897023367e-05,football,Ohio University
-5.422635214038158e-06,football,University of North Alabama
-4.127795590087787e-05,football,Claremont Colleges - Claremont McKenna
-1.4356806211359499e-05,football,Moorpark College
-4.941556011401713e-05,football,University of North Carolina Charlotte
-6.911151331850173e-05,football,Northeastern University
-2.5290714546273808e-05,football,Marshall University
-9.035979887745431e-05,football,University of Oregon
-5.1887943149062036e-05,football,Emerson College
-3.358226822659966e-05,football,University of Alabama
-3.4851726990966344e-05,football,Grand Valley State University
-8.512483653579423e-05,football,Mississippi State University
-2.9703663914471583e-05,football,Drake University
-3.663120151464223e-05,football,Grinnell College
-4.543351691737445e-05,football,Amherst College
-0.00010420408104567052,football,"University of Nebraska, Omaha"
-1.815300700102843e-05,football,University of Cincinnati
5.797675185081801e-05,football,Southern Methodist University
2.4153563528662045e-05,football,Morgan State University
-1.7102466405492256e-06,football,University of Akron
-0.00010143777880879164,football,College of William and Mary
-4.335680239971308e-05,football,Emporia State University
-5.15014578375332e-05,football,Oberlin College
-2.3400093650455127e-05,football,Texas State University
-4.37981173648975e-05,football,University of Mary Washington
-5.182512425333234e-05,football,North Carolina State University
-1.3822302663700347e-05,football,El Camino College
-9.588949731514112e-05,football,Virginia Polytechnic Institute
-4.604401282791996e-05,football,Portland State University
-4.290670447308738e-05,football,Georgia State University
-3.269735084197469e-05,football,Long Island University
2.9780194844093462e-05,football,University of Massachusetts Dartmouth
-3.453300962093997e-05,football,Colgate University
1.8878045862757983e-07,football,"University of Wisconsin, Oshkosh"
-0.0001485183195723579,football,Indiana University of Pennsylvania
-1.8567597780802225e-05,football,Clemson University
-3.2749154836449666e-05,football,Rider University
-3.345050326275019e-05,football,Wake Forest University
1.1751814599107721e-05,football,Southeastern Louisiana University
-1.653180738806059e-05,football,Wright State University
-4.0637167025973074e-05,football,Towson University
-1.4356806211359499e-05,football,Vanderbilt University
4.0486559089284985e-06,football,University of North Carolina Asheville
5.894091656901305e-05,football,University of Maine
-4.313287310146029e-05,football,Appalachian State University
1.8799622674266502e-05,football,Mt. San Antonio College
3.06504884290219e-05,football,Buena Vista University
-1.2094667417654155e-05,football,CSU East Bay
0.00012802632766039952,football,New Mexico State University
-3.590236106491933e-05,football,West Chester University
-1.0320583222373851e-05,football,Southern Utah University
-2.445222169539292e-05,football,Xavier University
0.0009495165697636632,football,"California State Polytechnic University, Humboldt"
3.7087628081712702e-06,football,Sacred Heart University
6.531959138925556e-05,football,"University of Wisconsin, La Crosse"
-2.9443006214309864e-06,football,Gettysburg College
2.9643121495022736e-05,football,Old Dominion University
-8.499843024514493e-05,basketball,"California Polytechnic State University, SLO"
0.00011733602453288246,basketball,Emory University
0.0009000324779502944,basketball,University of Georgia
8.103601161872824e-05,basketball,University of Hawaii Manoa
3.0797773114471215e-05,basketball,Suffolk University
-0.00014547977369486055,basketball,University of Utah
-0.0003224204014442068,basketball,Pennsylvania State University
-0.00012276088126248952,basketball,University of Notre Dame
2.6604276944213196e-05,basketball,Creighton University
-2.5717326367355197e-05,basketball,East Carolina University
-4.850368945640358e-05,basketball,"University of Nebraska, Lincoln"
-3.608055212247719e-05,basketball,University of North Florida
0.00011037987043638887,basketball,Georgetown University
-6.3068696445247404e-06,basketball,Texas Christian University
0.0012367470552615493,basketball,Eastern Illinois University
-4.0048796888029875e-05,basketball,University of Massachusetts Boston
1.2478145338115921e-05,basketball,Oregon State University
-6.55354693574656e-05,basketball,Santa Clara University
-7.758641632286672e-05,basketball,New York University
0.00030932139351070226,basketball,SUNY Stony Brook
-9.830968622103343e-05,basketball,University of Chicago
-0.00017485646719467022,basketball,University of Illinois Urbana Champaign
1.2430326067889213e-05,basketball,Biola University
-1.8255339616945478e-05,basketball,University of California Irvine
2.4860652135778425e-05,basketball,Hofstra University
5.4115093890135974e-05,basketball,Florida Gulf Coast University
-2.2915690549190346e-05,basketball,"University of Wisconsin, Madison"
-3.3319990484048333e-05,basketball,Northern Illinois University
-4.29610636332481e-05,basketball,University of Texas San Antonio
0.0002477183563844699,basketball,Marquette University
4.5190842154742846e-05,basketball,University of Miami
-5.7706880751935176e-05,basketball,University of Texas Arlington
-5.596306933784314e-05,basketball,University of California Davis
-0.0001237313730417254,basketball,Purdue University
-6.117724056543086e-05,basketball,University of Rochester
-3.298632456446823e-05,basketball,St. Louis University
-1.857904713395306e-05,basketball,Boston College
0.00034216821283042896,basketball,DePaul University
0.003065967749554743,basketball,San Diego State University
0.00043601499311891136,basketball,Oklahoma State University
-1.6644725905965162e-06,basketball,CSU Fresno
-0.000128287239131474,basketball,University of California Santa Barbara
0.0003049650723032763,basketball,St. Edward's University
-3.921430043433928e-05,basketball,Louisiana College
0.00015037654472411333,basketball,Washington State University
0.0001685752434891565,basketball,Missouri State University
0.0002246996422222354,basketball,Virginia Commonwealth University
0.00196701412551791,basketball,University of Southern Indiana
-2.8931728199743877e-05,basketball,West Virginia University
-0.00018214006766779402,basketball,University of Washington
0.0008877462425585136,basketball,University of Kansas
1.2960690084790118e-05,basketball,University of Oklahoma
-0.0002021689064144199,basketball,University of Minnesota Twin Cities
4.093639403434548e-05,basketball,University of Colorado Boulder
-5.6964393774482096e-05,basketball,Stanford University
